"%d Review(s)","%d个评论"
"%s Review(s)","%s个评论"
"(Posted on %s)","（评论日期 %s）"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","发表新的评论"
"Add Your Review","添加评论"
"Administrator","管理员"
"All Reviews","所有评论"
"All Reviews of Customer `%s`","客户`%s`的所有评论"
"Allow Guests to Write Reviews","允许未注册用户发表评论"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure?","您确认吗？"
"Average Customer Rating","平均客户评级"
"Average Customer Rating:","平均客户评级："
"Back","返回"
"Back to Main Product Info","返回主产品内容"
"Back to My Reviews","返回我的评论"
"Back to Product Reviews","返回产品评论"
"Be the first to review this product","第一个评论该产品"
"Catalog Product Review View","查看目录产品评论"
"Catalog Product Reviews List","目录产品评论列表"
"Created On","创建日期"
"Customer","客户"
"Customer My Account Product Reviews","客户产品评论"
"Customer My Account Review Details","客户产品评论内容"
"Customer Reviews","客户评论"
"Delete","删除"
"Delete Review","删除评论"
"Detailed Rating","评级情况"
"Edit Review '%s'","修改评论'%s'"
"Guest","访客"
"How do you rate this product?","您对该产品的评级是？"
"ID","编号"
"Manage Ratings","评级管理"
"My Product Reviews","我的产品评论"
"My Recent Reviews","我最近的评论"
"Name","名字"
"Name in Store","在商店的名字"
"New Review","新评论"
"Nickname","昵称"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","只有已注册用户才可以发表评论，请<a href=""%s"">登录</a> 或 <a href=""%s"">注册</a>"
"Pending Reviews","待审评论"
"Pending Reviews of Customer `%s`","客户`%s`的待审评论"
"Please select a product","请选择产品"
"Please select one of each of the ratings above","请选择上面的一个评级"
"Posted By","作者"
"Price","价格"
"Product","产品"
"Product Name","产品名称"
"Product Rating","产品评级"
"Product Rating:","产品评级："
"Product Review (submitted on %s):","产品评论 (提交日期 %s)："
"Product Reviews","产品评论"
"Product SKU","产品 SKU"
"Qty","数量"
"Rating:","评级："
"Review","评论"
"Review (submitted on %s):","评论 (提交日期 %s)："
"Review Details","评论"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","由 <span>%s</span> 评论"
"Reviews and Ratings","评论与评级"
"SKU","SKU"
"Save Review","保存评论"
"Status","状态"
"Submit Review","提交评论"
"Summary Rating","评级"
"Summary of Review","评论内容"
"Summary of Your Review","您的评论内容"
"Title","标题"
"Type","类型"
"Unable to post the review.","无法发表评论。"
"Update Status","更新状态"
"View All Reviews","查看所有评论"
"View Details","查看内容"
"Visible In","可见于"
"Websites","网站"
"Write Your Own Review","发表您自己的评论"
"You have submitted no reviews.","您没有提交评论。"
"You're reviewing:","您正在评论："
"Your Rating:","您的评级："
"Your Review (submitted on %s):","您的评论 (提交日期 %s)："
"Your review has been accepted for moderation.","您的评论已提交审核。"
