"-OR-","-或者-"
"2-pixel perimeter around the header space.","在头部空白处2个像素."
"3D Secure","3D安全"
"3D Secure Card Validation","3D安全卡验证"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro卡需要3D安全验证。支持美国运通卡需要额外的协议，更多请参见<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>。"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">现在开始接受Paypal付款！</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","实时模式需要一个值。请参考您与CardinalCommerce的协议。"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH寄存（异议或者其它调查）"
"ACH Deposit (Reversal)","ACH寄存（付款人撤销）"
"ACH Funding for Funds Recovery from Account Balance","从帐户余额拨款以充ACH资金"
"ACH Withdrawal","ACH提款"
"API Authentication Methods","API校验方法"
"API Certificate","API证书"
"API Password","API 密码"
"API Signature","API 签名"
"API Username","API用户名"
"API Uses Proxy","API使用代理"
"API/Integration","API/Integration"
"API/Integration Settings","API/Integration 设置"
"Ability for buyer to purchase without PayPal account.","支持没有Paypal账号付款。"
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","在您的购物车接受Paypal支付。Paypal将通过Payflow Pro支付网关执行信用卡支付。"
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","接受顾客不离开您的网站完成整个支付过程。许多流行的Web服务和购物车系统已内建Payflow支付网关，所以他们可以方便的建立此功能。"
"Acceptance Mark","授权标记"
"Acceptance Mark Image","授权标记图片"
"Account-to-Account Payment, initiated by PayPal","账户到帐户的支付，Paypal出品"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","添加快速结账按钮到您的购物车系统，快速方便的信用卡支付。Paypal为您处理所有支付操作。"
"Additional Options","附加选项"
"Address Verification System Response","地址验证系统响应"
"All the address information matched","所有地址信息已匹配"
"Allow in Billing Agreement Wizard","允许自动扣款协议向导"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","允许值: ""paypal"", ""primary"" (默认), your_custom_value (顾客个人资料设置的付款页面自定义风格)."
"Allowed Credit Card Types","允许的信用卡类型"
"Also affects mini-shopping cart.","对迷你购物车也有效。"
"Api/Integration","Api/Integration"
"Ask Customer","询问顾客"
"Attempted Authentication, Bad Result","认证时,返回数据失败"
"Attempted Authentication, Good Result","验证通过"
"Auction Payment other than through eBay","除了ebay，还有其它拍卖的付款"
"Authenticated, Bad Result","验证身份失败"
"Authenticated, Good Result","通过身份验证"
"Authorization","授权"
"Authorization transaction is required to void.","授权交易无效."
"Auto","自动"
"AutoSweep","AutoSweep"
"Available Balance","可用余额"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","账单地址"
"Billing Agreement Signup ","签署自动扣款 "
"Billing Information","账单信息"
"Bonus for first ACH Use","第一次使用ACH奖励"
"Buyer Credit Payment","顾客赊欠"
"By default it is ""reports.paypal.com"".","默认为""reports.paypal.com""。"
"CVV2 Check Result by PayPal","CVV2 Paypal检查结果"
"Can not send new order email.","不能发送新订购邮件。"
"Cannot create target file for reading reports.","不能为读取报告建立目标文件。"
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","更改支付方式"
"Change Shipping Address","更改运输地址"
"Charge-off","销账"
"Chargeback","退单"
"Chargeback by customer.","顾客退单。"
"Checkout with PayPal","用Paypal结账"
"Completion Date","完成日期"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","连接Paypal SFTP服务器获取新的报告。您确定执行吗？"
"Countries Payment Applicable From","适合付款的国家"
"Coupon Redemption","使用优惠券"
"Credit","赊欠"
"Credit Card Settings","信用卡设定"
"Currency Conversion required to cover negative balance","货币转换需要补足帐户负平衡"
"Custom","自定义"
"Custom Endpoint Hostname or IP-Address","自定义端点主机名或者IP地址"
"Custom Path","自定义路径"
"Customer complaint.","顾客投诉。"
"Customer did not include a confirmed address.","顾客信息未包含经过确认的地址。"
"Customer triggered a money-back guarantee.","顾客申请了退款。"
"Daily","日常"
"Debit","借方"
"Debit Card Cash Back","借记卡现金返还"
"Debit Card Transaction","借记卡交易"
"Debit or Credit","借记或赊欠（借记卡或信用卡）"
"Debug Mode","调试模式"
"Direct Payment API","Direct Payment API"
"Discount","折扣"
"Displays on catalog pages and homepage.","在商品页面和首页显示。"
"Don't have a PayPal account? Simply enter your email address.","没有Paypal账户？在这里填入您的邮箱地址吧。"
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","没有Paypal卖家帐户？没关系！您仍然可以通过Payflow Pro接受信用卡付款。"
"Dynamic","动态"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","编辑购物车"
"Email Associated with PayPal Merchant Account","与Paypal卖家账号关联的Email地址"
"Enable Automatic Fetching","允许自动获取"
"Enable PayPal Guest Checkout","允许Paypal非注册用户结账"
"Enabled","启用"
"Event","事件"
"Event Code","事件代码"
"Every 10 days","每10天"
"Every 14 days","每14天"
"Every 3 days","每3天"
"Every 30 days","每30天"
"Every 40 days","每40天"
"Every 7 days","每7天"
