"# of Use","使用次数"
"%1$s incl tax.","%1$s 含杂费。"
"%s - %s","%s - %s"
"%s Item(s)","%s件产品"
"(%d)","(%d)"
"(Copy data from: %s)","(复制数据自: %s)"
"(Will make search for the query above return results for this search.)","(该搜索将以上面返回的结果来查询。)"
"* Required Fields","必填栏目"
"-- Please Select --","-- 请选择 --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果没有设置，默认为86400。为了实是更新，请清空HTML块缓存输出。"
"A group with the same name already exists.","相同名字的组已经存在。"
"A name is required","名字必填"
"A product type is not defined for the indexer.","产品类型没有在索引定义"
"ALL GROUPS","所有分组"
"AM","AM"
"Action","操作"
"Add Attribute","增加属性"
"Add Design Change","增加界面设计"
"Add Group","增加分组"
"Add New","增加"
"Add New Attribute","增加新属性"
"Add New Attribute Set","增加新属性组合"
"Add New Group","增加新分组"
"Add New Images","增加新图片"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"Add New Search Term","增加新搜索关键词"
"Add New Set","增加新组合"
"Add Product","增加产品"
"Add Product To Websites","增加产品到网站"
"Add Root Category","添加根目录"
"Add Subcategory","添加子目录"
"Add Tax","添加杂费"
"Add Tier","增加层次"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入收藏"
"Additional Information","附加信息"
"Alert Urls","报错网址"
"All","所有"
"All Product Types","所有产品类型"
"All Websites","所有网站"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性集合的产品将会被删除！您确定要删除此属性集合吗？"
"Allow All Products per Page","分类允许显示所有产品"
"Allow Dynamic Media URLs in Products and Categories","允许在产品与分类中使用动态媒体网址"
"Allow HTML Tags on Frontend","允许前台使用HTML标记"
"Allowed File Extensions","允许文件后缀"
"Allowed file extensions to upload","允许上传文件后缀"
"An error occurred while adding customers for the %s alert. Message: %s","为顾客增加 %s 提醒信息： %s 时出错"
"An error occurred while adding products to websites.","增加产品到网站时出错。"
"An error occurred while clearing comparison list.","清空比较时出错。"
"An error occurred while removing products from websites.","从网站删除产品时出错。"
"An error occurred while saving the URL rewrite.","保存URL重写时出错。"
"An error occurred while saving the attribute set.","保存属性集合时出错。"
"An error occurred while saving the collection, aborting. Error message: %s","加载组合出错，退出。 错误信息： %s"
"An error occurred while saving the product. ","保存产品时出错。 "
"An error occurred while saving the search query.","保存查询时出错。"
"An error occurred while saving this group.","保存组时出错。"
"An error occurred while trying to delete the category.","删除分类时出错。"
"An error occurred while updating the product(s) attributes.","更新产品属性时出错。"
"An error occurred while updating the product(s) status.","更新产品状态时出错。"
"An invalid group ID is specified, skipping the record.","指定错误的组ID，或略该记录。"
"An invalid option ID is specified for %s (%s), skipping the record.","为 %s (%s)指定错误选项ID，忽略该记录。"
"An invalid store was specified.","指定不允许的商店。"
"Anchor Custom Text","自锚文本"
"Anchor Custom Title","锚自定义标题"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","只适用于目录产品与分类。所有媒体内容将当作静态链接插入编辑器。将不会随系统设置的基准网址改变。"
"Apply To","应用于"
"Approved","已批准"
"Are you sure you want to delete this category?","您确定要删除该分类吗？"
"Are you sure you would like to remove all products from your comparison?","您确定要从比较产品中删除所有产品吗？"
"Are you sure you would like to remove this item from the compare products?","您确定要从比较产品中删除本产品吗？"
"Are you sure?","您确定吗？"
"As low as:","低至："
"Assign","指定"
"Assign product link","指定产品链接"
"Assign product to category","添加产品到分类"
"Assigned Products","指定产品"
