"A joint field with this alias (%s) is already declared.","该别名 (%s) 的联合字段或属性表达式已声明。"
"Add Option","添加选项"
"An error occurred while loading a record, aborting. Error: %s","加载记录时发生错误，退出。 错误： %s"
"An error occurred while loading the collection, aborting. Error: %s","加载组合时发生错误，退出。 错误： %s"
"An error occurred while saving a record, aborting. Error: ","保存记录时发生错误，退出。 错误："
"Attempt to add an invalid object.","要增加的对象不正确。"
"Attribute '%s' used in configurable products.","属性'%s'用于可配置商品。"
"Attribute Code","属性编码"
"Attribute Label","属性标签"
"Attribute Properties","属性值"
"Attribute set with the ""%s"" name already exists.","名为""%s"" 的属性组已存在。"
"Attribute with the same code","属性代码相同"
"Catalog Input Type for Store Owner","商店所有者的目录输入类型"
"Data integrity: No header row found for attribute.","数据完整性：属性中没有标题行。"
"Date","日期"
"Decimal Number","小数"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","缺省产品列表排序不存在于可变产品列表排序中"
"Default Value","默认值"
"Default option value is not defined.","缺省选项值未定义。"
"Delete","删除"
"Dropdown","下拉"
"Email","邮件"
"Entity collection expected.","需要实体组合。"
"Entity collections expected.","需要实体组合。"
"Entity is not initialized.","实体未初始化。"
"Failed to load node %s from config.","从配置文件读取节点 %s 失败。"
"For internal use. Must be unique with no spaces","内部使用。必须唯一且没有空格"
"Form Element with the same attribute","相同属性的表格单元"
"Form Fieldset with the same code","相同栏目集合编码的表格"
"Form Type with the same code","相同编码的表格类型"
"Frontend label is not defined.","前台标签未定义。"
"Input Validation for Store Owner","商店所有者输入验证"
"Integer Number","整数"
"Invalid EAV attribute.","非法的 EAV 属性。"
"Invalid alias, already exists in joined attributes","别名不正确，已在联合属性中"
"Invalid attribute name: %s.","属性名不正确：%s。"
"Invalid attribute requested: %s","请求的属性不正确：%s"
"Invalid attribute type.","属性类型不正确。"
"Invalid character encountered in increment ID: %s","有无效的字符在增量编号中：%s"
"Invalid entity specified","指定的实体不正确"
"Invalid entity supplied.","提供的实体不正确。"
"Invalid entity supplied: %s.","提供的实体不正确: %s。"
"Invalid entity type.","实体类型不正确。"
"Invalid entity_id, skipping the record","entity_id不正确，忽略该记录"
"Invalid entity_type specified: %s","指定的entity_type不正确：%s"
"Invalid foreign key.","外键不正确。"
"Invalid form type.","不正确的表格类型。"
"Invalid joint fields.","联合字段不正确。"
"Invalid store specified","指定的商店不正确"
"Joined field with this alias is already declared.","该别名的联合字段已声明"
"Joint field or attribute expression with this alias is already declared.","别名的联合字段或属性已声明"
"Letters","字母"
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a-z, A-Z) 或数字 (0-9)"
"Loaded %d records","加载了%d个记录"
"Multiple Select","多个选择"
"No","否"
"No options found in config node %s","配置节点 %s 下未找到选项"
"None","None"
"Not shared with other products","不与其它产品共享"
"Problem loading the collection, aborting. Error: %s","加载组合出错，退出。错误：%s"
"Problem saving the collection, aborting. Error: %s","保存组合出错，退出。错误：%s"
"Required","要求的"
"Saved %d record(s).","保存 %d 条记录。"
"Scope must not be changed, because the attribute is used in configurable products.","不能更改范围，因为该属性被用于可配置商品。"
"System","系统"
"Text Area","文本区域"
"Text Field","文本区域"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","属性代码\'%s\'为系统保留代码，请尝试其他的属性代码。"
"The value of attribute ""%s"" must be unique.","属性值 ""%s"" 必须唯一。"
"This attribute is used in configurable products.","该属性用于可配置产品。"
"URL","URL"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (不与其它产品共享)"
"Unknown parameter.","未知参数。"
"Valid store_id is expected.","需要正确的store_id。"
"Values Required","要求的值"
"Wrong attribute ID.","属性编号错误。"
"Wrong attribute group ID.","属性组编号错误。"
"Wrong attribute set ID.","属性组合编号错误。"
"Wrong entity ID.","实体编号错误。"
"Yes","是"
"Yes/No","是/否"
