"Alert Email Sender","提醒邮件的发件人"
"Alert subscription has been saved.","商品提醒订阅已保存。"
"Allow Alert When Product Comes Back in Stock","允许有库存时提醒"
"Allow Alert When Product Price Changes","允许价格变化时提醒"
"Click here not to receive alerts for this product","点这里取消接收本商品提醒"
"Error Email Recipient","错误邮件的收件人"
"Error Email Sender","错误邮件的发件人"
"Error Email Template","错误邮件的模板"
"Frequency","频率"
"Not enough parameters.","没有足够的参数"
"Price Alert Email Template","价格提醒邮件模板"
"Price:","价格："
"Product Alerts","商品提醒"
"Product Alerts Run Settings","商品提醒的设置"
"Product alerts Cron error","商品提醒的计划任务错误"
"Product price alert","商品价格提醒"
"Product stock alert","商品库存提醒"
"Regular Price:","普通价格:"
"Sign up for price alert","登记价格提醒"
"Sign up to get notified when this product is back in stock","登记当商品重新有库存时提醒"
"Special price:","特价："
"Start Time","开始时间"
"Stock Alert Email Template","库存提醒邮件模板"
"The alert subscription has been deleted.","您订阅的提醒已删除。"
"The alert subscription has been saved.","您订阅的提醒已保存。"
"The product is not found.","商品未找到。"
"The product was not found.","商品未找到。"
"Unable to update the alert subscription.","不能更新您订阅的提醒。"
"Unsubscribe from all price alerts","退订所有价格提醒"
"Unsubscribe from all stock alerts","退订所有库存提醒"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您接收到本邮件是因为订阅了以下商品重新有库存时的提醒："
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您接收到本邮件是因为订阅了以下商品价格变化的提醒："
"You will no longer receive price alerts for this product.","您将不会再收到该商品价格变化的提醒。"
"You will no longer receive stock alerts for this product.","您将不会再收到该商品库存变化的提醒。"
"You will no longer receive stock alerts.","您不会再收到库存变化的提醒。"
