"A block identifier with the same properties already exists in the selected store.","块标识符已在选定的存储中存在相同的属性。"
"A directory with the same name already exists. Please try another folder name.","相同名称的目录已经存在。请另外尝试。"
"A page URL key for specified store already exists.","指定的商店的URL key已经存在。"
"Action","操作"
"Add New Block","增加新块"
"Add New Page","增加新页面"
"All Countries","所有国家"
"An error occurred while saving the page.","储存页面时发生错误。"
"Anchor Custom Text","自锚文本"
"Anchor Custom Title","锚自定义标题"
"Are you sure you want to delete current folder?","你确定要删除当前文件夹?"
"Are you sure you want to delete the selected file?","你确定要删除选定的文件?"
"Block","Block"
"Block Information","块信息"
"Block Title","块标题"
"CMS","CMS"
"CMS Content Wrapper","CMS 内容包装"
"CMS Home Page","CMS 首页"
"CMS No Cookies Page","CMS 不支持Cookie页面"
"CMS No Route Page","CMS 缺失页面"
"CMS No-Route Page","CMS No-Route 页面"
"CMS Page","CMS 页"
"CMS Page Link","CMS 页面链接"
"CMS Page Link Block Template","CMS 页面链接块模板"
"CMS Page Link Inline Template","CMS 页面内联模板"
"CMS Pages (All)","CMS 页面 (所有)"
"CMS Static Block","CMS 静态块"
"CMS Static Block Default Template","CMS 静态块默认模板。"
"Cannot create new directory.","不能创建新目录。"
"Cannot delete directory %s.","无法删除目录 %s。"
"Cannot delete root directory %s.","不能删除根目录 %s。"
"Cannot upload file.","不能上传文件。"
"Collapse All","关闭所有"
"Content","内容"
"Content Heading","标题内容"
"Content Management","内容管理"
"Contents of a Static Block","内容静态快"
"Create Folder...","创建文件夹..."
"Custom Design","自定义设计"
"Custom Design From","自定义设计表单"
"Custom Design To","自定义设计到"
"Custom Layout","自定义布局"
"Custom Layout Update XML","更新自定义XML布局"
"Custom Theme","自定义主题"
"Customer Tax Class Information","自定义税率信息"
"Date Created","创建日期"
"Delete Block","删除方框"
"Delete File","删除文件"
"Delete Folder","删除文件夹"
"Delete Page","删除页面"
"Description","描述"
"Design","设计"
"Disabled","关闭"
"Disabled Completely","彻底禁用"
"Disabled by Default","默认情况下禁用"
"Edit Block","修改块"
"Edit Block '%s'","修改块'%s'"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Enable WYSIWYG Editor","启用所见即所得编辑器"
"Enabled","启用"
"Enabled by Default","默认情况下启用"
"Expand All","全部展开"
"General Information","基本信息"
"Go to Home Page","转到首页"
"Home","首页"
"ID","编号"
"Identifier","标识符"
"If empty, the Page Title will be used","如果为空，会使用页面标题"
"Images (%s)","图片(%s)个"
"Insert File","插入文件"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","无效的文件夹名. 请使用字母和数字, 下划线和破折号."
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Link to a CMS Page","连接到一个CMS页面"
"Manage Pages","管理页面"
"Media Storage","多媒体储存"
"Meta Data","Meta 数据"
"Meta Description","Meta 描述"
"Meta Keywords","Meta 关键字"
"New Block","新块"
"New Folder Name:","新文件夹名:"
"New Page","新页面"
"No files found","没有找到文件夹"
"Page Information","页面信息"
"Page Layout","页面布局"
"Page Status","页面状态"
"Page Title","页面标题"
"Pages","页面"
"Product Tax Class Information","商品税率信息"
"Redirect to CMS-page if Cookies are Disabled","如果缓存不可用，重定向到CMS-页"
"Relative to Website Base URL","相对于网站基础连接"
"Save Block","保存块"
"Save Page","保存页面"
"Save Process","Save Process"
"Select Block...","选择块..."
"Select Page...","选择页面..."
"Show Breadcrumbs for CMS Pages","显示CMS页面路径"
"Show Notice if JavaScript is Disabled","如果 JavaScipt 不能使用，显示提示"
"Static Blocks","静态块"
"Status","状态"
"Storage Root","储存根"
"Store View","商店界面"
"Template","模板"
"The block has been deleted.","该区块已被删除。"
"The block has been saved.","该区块已被保存。"
"The directory %s is not writable by server.","服务器上 %s 目录不可写。"
"The page URL key cannot consist only of numbers.","该URL key可以只包含数字。"
"The page URL key contains capital letters or disallowed symbols.","该URL key包含大写字母或禁止符号。"
"The page has been deleted.","该页面已删除。"
"The page has been saved.","该页面已保存。"
"This block no longer exists.","这个块不存在。"
"This page no longer exists.","该页面不存在。"
"Title","标题"
"URL Key","网址"
"Unable to find a block to delete.","没有找到要删除的块。"
"Unable to find a page to delete.","没有找到要删除的页面。"
"WYSIWYG Options","所见即所得编辑器设置"
"px.","px."
