"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","所有信用卡 / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) – 国际"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) – 意大利"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) – 法国"
"Customer ID","客户 ID"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) – 丹麦"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) – 澳大利亚"
"Enabled","激活"
"Find out more about Online Bank Transfer","寻找更多的网上银行转账"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) – 德国"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) – 爱尔兰"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) – 德国"
"Loading secure payment page (SSL)","载入安全支付页面 (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybookers) – 英国,澳大利亚,西班牙"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Moneybookers 设置"
"Moneybookers Transaction ID: %s","Moneybookers 交易 ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","更多关于Moneybookers的信息"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) – 芬兰"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) – 瑞典"
"Online Bank Transfer (powered by Moneybookers)","在线银行转账 (powered by Moneybookers)"
"Order ID","Order ID"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) – 澳大利亚"
"Payment failed.","付款失败."
"Payment from Applicable Countries","可以付款到的国家"
"Payment from Specific Countries","指定可以付款的国家"
"Payment has not been processed yet.","还没有被处理的付款"
"Payment was canceled.","付款已经被取消"
"Pending bank transfer created.","等待银行处理"
"Please pay your order now","请支付您的订单"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) – 意大利"
"Powered by Moneybookers","Powered by Moneybookers, Translation by MagentoChina.Org"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) – 波兰"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) – 德国"
"Sort Order","订单排序"
"The amount has been authorized and captured by Moneybookers.","款项已经被批准"
"The customer was redirected to Moneybookers.","客户会被重定向到Moneybookers."
"The order has been canceled.","订单已经被取消"
"Title","标题"
"You will be redirected to our secure payment page when you place an order.","当您下订单时,会被重定向到我们的安全支付页面"
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) – 新加坡"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) – 荷兰"
